No.	Observed Passband	Photometry Measurement	Uncertainty	Units	Frequency	NED Photometry Measurement	NED Uncertainty	NED Units	Refcode	Significance	Published frequency	Frequency Mode	Coordinates Targeted	Spatial Mode	Qualifiers	Comments	log v	log(Jy)
82	K (ESO/SPM)         	41.4	+/-2.76 	milliJy             	1.36E+14	4.14E-02	+/-2.76E-03	Jy	1995ApJ...453..616S	rms uncertainty	2.210      microns   	 Broad-band measurement	153246.8 +234007 (B1950)	 Flux in fixed aperture	"15"" aperture                            "	From new raw data	14.13353891	-15.51653857
83	Br{beta} (AKARI)    	2.50E-14		erg/s/cm^2^         	1.14E+14	2.50E+09		Jy-Hz	2010ApJ...721.1233I	no uncertainty reported	      2.63 microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	14.05690485	-4.658964843
84	3.3 microns (Subaru)	2.50E-13	+/-40  %	erg s^-1^ cm^-2^    	9.11E+13	2.50E+10	+/-1.00E+10	Jy-Hz	2006ApJ...637..114I	estimated error	    3.29   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	13.95951838	-3.561578368
85	3.3 PAH (AKARI)     	4.34E-13		erg/s/cm^2^         	9.08E+13	4.34E+13		Jy-Hz	2010ApJ...721.1233I	no uncertainty reported	       3.3 microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	13.95808585	-0.320596119
86	3.4 microns WISE AB 	12.3	+/-0.10 	mag                 	8.93E+13	4.36E-02	+/-4.02E-03	Jy	2014ApJS..212...18B	uncertainty	   33570   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data; Extinction-corrected for Milky Way	13.95085146	-15.31136497
87	3.4 microns WISE AB 	12.31	+/-0.10 	mag                 	8.93E+13	4.32E-02	+/-3.98E-03	Jy	2014ApJS..212...18B	uncertainty	   33570   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data	13.95085146	-15.31536771
88	3.6 microns IRAC AB 	12.26	+/-0.10 	mag                 	8.46E+13	4.53E-02	+/-4.17E-03	Jy	2014ApJS..212...18B	uncertainty	   35440   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data	13.92737036	-15.27127216
89	3.6 microns IRAC AB 	12.25	+/-0.10 	mag                 	8.46E+13	4.57E-02	+/-4.21E-03	Jy	2014ApJS..212...18B	uncertainty	   35440   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	13.92737036	-15.26745416
90	Br{alpha} (ISO)     	1.80E-13		 erg/s/cm^2^        	7.40E+13	1.80E+10		Jy-Hz	2008MNRAS.384..875R	no uncertainty reported	    4.05   microns   	 Line measurement; flux integrated over line		 Flux integrated from map	                                        	Averaged from previously published data	13.86923172	-3.613959215
91	Br{alpha} (AKARI)   	4.30E-14		erg/s/cm^2^         	7.40E+13	4.30E+09		Jy-Hz	2010ApJ...721.1233I	no uncertainty reported	      4.05 microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	13.86923172	-4.235763264
92	4.5 microns IRAC AB 	12.36	+/-0.10 	mag                 	6.68E+13	4.15E-02	+/-3.82E-03	Jy	2014ApJS..212...18B	uncertainty	   44870   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data	13.82477646	-15.20672837
93	4.5 microns IRAC AB 	12.35	+/-0.10 	mag                 	6.68E+13	4.18E-02	+/-3.85E-03	Jy	2014ApJS..212...18B	uncertainty	   44870   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	13.82477646	-15.20360018
94	4.6 microns WISE AB 	12.43	+/-0.10 	mag                 	6.51E+13	3.89E-02	+/-3.58E-03	Jy	2014ApJS..212...18B	uncertainty	   46060   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data	13.81358099	-15.22363139
95	4.6 microns WISE AB 	12.42	+/-0.10 	mag                 	6.51E+13	3.91E-02	+/-3.60E-03	Jy	2014ApJS..212...18B	uncertainty	   46060   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data; Extinction-corrected for Milky Way	13.81358099	-15.22140423
96	H_2 S(7) line (IRS) 	1.29E-20	+/-0.38E-20	W cm^-2^            	5.44E+13	1.29E+10	+/-3.80E+09	Jy-Hz	2006ApJ...648..323H	uncertainty	    5.51   microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.24 +23 30 11.70 (J2000)	 Flux integrated from map	                                        	From new raw data	13.7355989	-3.625009189
97	5.8 microns IRAC AB 	11.27	+/-0.10 	mag                 	5.25E+13	1.13E-01	+/-1.04E-02	Jy	2014ApJS..212...18B	uncertainty	   57100   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data	13.7201593	-14.66708086
98	5.8 microns IRAC AB 	11.26	+/-0.10 	mag                 	5.25E+13	1.14E-01	+/-1.05E-02	Jy	2014ApJS..212...18B	uncertainty	   57100   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	13.7201593	-14.66325445
99	6 microns (Spitzer) 	69.3		 milliJy            	5.00E+13	6.93E-02		Jy	2009ApJS..182..628V	no uncertainty reported	         6 microns   	 Broad-band measurement		 Flux integrated from map	From IRS spectra with 3.3% bandpass     	From new raw data	13.69897	-14.85823677
100	PAH 6.2 (IRS)       	2.25E-12	+/-16E-14	ergs cm^-2^ s^-1^   	4.84E+13	2.25E+11	+/-1.60E+10	Jy-Hz	2007ApJ...656..148A	uncertainty	     6.2   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.68484536	-2.332662844
101	PAH 6.2 (Spitzer)   	2.22E-19	+/-0.3E-20	W/cm^2^             	4.84E+13	2.22E+08	+/-3.00E+06	Jy-Hz	2009ApJ...701..658W	uncertainty	       6.2 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux in fixed aperture	                                        	From reprocessed raw data	13.68484536	-5.338492387
102	PAH 6.2 (Spitzer)   	1.30E-21		W/cm^2^             	4.84E+13	1.30E+09		Jy-Hz	2011ApJ...730...19S	no uncertainty reported	       6.2 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.24 +23 30 11.7 (J2000)	 Total flux	                                        	From reprocessed raw data	13.68484536	-4.570902009
103	LW2 (ISOCAM)        	191	+/-10   	 milliJy            	4.44E+13	1.91E-01	+/-1.91E-02	Jy	2004A&A...419..501F	estimated error	    6.75   microns   	 Broad-band measurement		 Flux in fixed aperture	"2."" diameter aperture                   "	From reprocessed raw data	13.64738297	-14.3663496
104	8.0 microns IRAC AB 	10.16	+/-0.10 	mag                 	3.82E+13	3.14E-01	+/-2.89E-02	Jy	2014ApJS..212...18B	uncertainty	   78410   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data	13.58206336	-14.08513371
105	8.0 microns IRAC AB 	10.16	+/-0.10 	mag                 	3.82E+13	3.15E-01	+/-2.90E-02	Jy	2014ApJS..212...18B	uncertainty	   78410   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	13.58206336	-14.08375281
106	7.9 microns Spitzer 	582.2		milliJy             	3.79E+13	5.82E-01		Jy	2011ApJ...730...19S	no uncertainty reported	       7.9 microns   	 Broad-band measurement	15 34 57.24 +23 30 11.7 (J2000)	 Flux integrated from map	                                        	From reprocessed raw data	13.57863921	-13.81371623
107	8 microns (Spitzer) 	500	+/-5   %	milliJy             	3.75E+13	5.00E-01	+/-2.50E-02	Jy	2009ApJ...698.1682W	typical accuracy	         8 microns   	 Broad-band measurement	15 34 57.10 +23 30 11.0 (J2000)	 Peak flux	                                        	From reprocessed raw data	13.57403127	-13.87506126
108	H_2 S(3) line (IRS) 	7.86E-14	+/-0.44E-14	ergs cm^-2^ s^-1^   	3.10E+13	7.86E+09	+/-4.40E+08	Jy-Hz	2007ApJ...656..148A	uncertainty	   9.665   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.49136169	-3.595939148
109	H_2 S(3) line (IRS) 	7.30E-21	+/-0.02E-20	W cm^-2^            	3.10E+13	7.30E+09	+/-2.00E+08	Jy-Hz	2006ApJ...648..323H	uncertainty	    9.67   microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.24 +23 30 11.70 (J2000)	 Flux integrated from map	                                        	From new raw data	13.49136169	-3.628038834
110	10 microns (ISO)    	0.147	+/-30  %	Jy                  	3.00E+13	1.47E-01	+/-4.41E-02	Jy	2001A&A...379..823K	uncertainty	10         microns   	 Broad-band measurement		 Flux in fixed aperture	"Aperture 52""                            "	From new raw data	13.47712125	-14.30980392
111	[S IV] line (IRS)   		<0.6E-14   	ergs cm^-2^ s^-1^   	2.85E+13		6.00E+08	Jy-Hz	2007ApJ...656..148A	3 sigma	  10.511   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.45484486	#NUM!
112	[S IV] 10.51 (IRS)  		<0.79E-21  	W/cm^2^             	2.85E+13		7.90E+08	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    10.511 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.45484486	#NUM!
113	10.8 microns MIRLIN 	142	+/-8    	milliJy             	2.78E+13	1.42E-01	+/-8.00E-03	Jy	2004ApJ...605..156G	statistical error	    10.8   microns   	 Broad-band measurement		 Flux in fixed aperture	"1.5"" diam aperture                      "	From new raw data	13.4440448	-14.29175645
114	PAH 11.2 (Spitzer)  	1.54E-19	+/-0.6E-20	W/cm^2^             	2.68E+13	1.54E+08	+/-6.00E+06	Jy-Hz	2009ApJ...701..658W	uncertainty	      11.2 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux in fixed aperture	                                        	From reprocessed raw data	13.42813479	-5.240614073
115	PAH 11.3 (Spitzer)  	7.80E-20		W/cm^2^             	2.65E+13	7.80E+10		Jy-Hz	2011ApJ...730...19S	no uncertainty reported	      11.3 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.24 +23 30 11.7 (J2000)	 Total flux	                                        	From reprocessed raw data	13.42324587	-2.531151271
116	PAH 11.3 (IRS)      	1.38E-12	+/-9.63E-14	ergs cm^-2^ s^-1^   	2.65E+13	1.38E+11	+/-9.63E+09	Jy-Hz	2007ApJ...656..148A	uncertainty	    11.3   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.42324587	-2.283366788
117	12 microns WISE AB  	9.66	+/-0.10 	mag                 	2.54E+13	4.96E-01	+/-4.57E-02	Jy	2014ApJS..212...18B	uncertainty	  118100   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data	13.40483372	-13.70935204
118	12 microns WISE AB  	9.66	+/-0.10 	mag                 	2.54E+13	4.97E-01	+/-4.58E-02	Jy	2014ApJS..212...18B	uncertainty	  118100   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data; Extinction-corrected for Milky Way	13.40483372	-13.70847733
119	12 microns (ISO)    	0.6	+/-30  %	Jy                  	2.52E+13	6.00E-01	+/-1.80E-01	Jy	2001A&A...379..823K	uncertainty	12         microns   	 Broad-band measurement		 Flux in fixed aperture	"Aperture 52""                            "	From new raw data	13.40140054	-13.62324929
120	12 microns (IRAS)   	0.61	+/-0.021	Jy                  	2.50E+13	6.10E-01	+/-2.10E-02	Jy	2003AJ....126.1607S	1 sigma	      12   microns   	 Broad-band measurement	15 34 57.1 +23 30 10 (J2000)	 Total flux	"Size, Method, Flag codes: RI;see paper  "	From reprocessed raw data	13.39794001	-13.61261017
121	12 microns (IRAS)   	0.64	+/-0.029	Jy                  	2.50E+13	6.40E-01	+/-2.90E-02	Jy	1989AJ.....98..766S	rms noise	12         microns   	 Broad-band measurement	153246.3 +234008 (B1950)	 Integrated from scans	Marginally resolved with 0.77' beam     	From reprocessed raw data	13.39794001	-13.59176003
122	12 microns (IRAS)   	4.84E-01	+/-5   %	Jy                  	2.50E+13	4.84E-01	+/-2.42E-02	Jy	1990IRASF.C...0000M	uncertainty	 12        microns   	 Broad-band measurement	153246.8 +234007 (B1950)	 Flux in fixed aperture	IRAS quality flag = 3                   	From new raw data	13.39794001	-13.71309465
123	H_2 S(2) line (IRS) 	9.80E-21	+/-0.13E-20	W cm^-2^            	2.44E+13	9.80E+09	+/-1.30E+09	Jy-Hz	2006ApJ...648..323H	uncertainty	   12.28   microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.24 +23 30 11.70 (J2000)	 Flux integrated from map	                                        	From new raw data	13.38738983	-3.396163751
124	H_2 S(2) line (IRS) 	1.03E-13	+/-0.43E-14	ergs cm^-2^ s^-1^   	2.44E+13	1.03E+10	+/-4.30E+08	Jy-Hz	2007ApJ...656..148A	uncertainty	  12.279   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.38738983	-3.374552602
125	HI 7-6 (IRS)        		<3.60E-21  	W/cm^2^             	2.42E+13		3.60E+09	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    12.368 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.38381537	#NUM!
126	PAH 12.7 (IRS)      	3.07E-12	+/-8.77E-14	ergs cm^-2^ s^-1^   	2.36E+13	3.07E+11	+/-8.77E+09	Jy-Hz	2007ApJ...656..148A	uncertainty	    12.7   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.372912	-1.885773627
127	[Ne II] line (IRS)  	6.78E-13	+/-3.64E-14	ergs cm^-2^ s^-1^   	2.34E+13	6.78E+10	+/-3.64E+09	Jy-Hz	2007ApJ...656..148A	uncertainty	  12.814   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.36921586	-2.537986164
128	[Ne II] 12.81 (IRS) 	6.11E-20		W/cm^2^             	2.34E+13	6.11E+10		Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    12.814 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.36921586	-2.583174647
129	14 microns (IRS)    	0.93		Jy                  	2.14E+13	9.30E-01		Jy	2007ApJ...659..296L	no uncertainty reported	      14   microns   	 Broad-band measurement		 Flux integrated from map	S/N = 150                               	From reprocessed raw data	13.33041377	-13.36193082
130	[Cl II] line (IRS)  	2.55E-14	+/-0.53E-14	ergs cm^-2^ s^-1^   	2.09E+13	2.55E+09	+/-5.30E+08	Jy-Hz	2007ApJ...656..148A	uncertainty	  14.368   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.32014629	-3.913606106
131	[Ne V] line (IRS)   		<1.6E-14   	ergs cm^-2^ s^-1^   	2.09E+13		1.60E+09	Jy-Hz	2007ApJ...656..148A	3 sigma	  14.322   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.32014629	#NUM!
132	[Ne V] 14.32 (IRS)  		<6.29E-21  	W/cm^2^             	2.09E+13		6.29E+09	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    14.322 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.32014629	#NUM!
133	[Cl II] 14.37 (IRS) 		<5.29E-21  	W/cm^2^             	2.09E+13		5.29E+09	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    14.369 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.32014629	#NUM!
134	15 microns (Spitzer)	1116.3		 milliJy            	2.00E+13	1.12E+00		Jy	2009ApJS..182..628V	no uncertainty reported	        15 microns   	 Broad-band measurement		 Flux integrated from map	From IRS spectra with 3.3% bandpass     	From new raw data	13.30103	-13.25181197
135	LW3 (ISOCAM)        	765	+/-20   	 milliJy            	2.00E+13	7.65E-01	+/-1.53E-01	Jy	2004A&A...419..501F	estimated error	    15.0   microns   	 Broad-band measurement		 Flux in fixed aperture	"2."" diameter aperture                   "	From reprocessed raw data	13.30103	-13.41736856
136	15 microns (ISO)    	1.14	+/-30  %	Jy                  	1.98E+13	1.14E+00	+/-3.42E-01	Jy	2001A&A...379..823K	uncertainty	15         microns   	 Broad-band measurement		 Flux in fixed aperture	"Aperture 52""                            "	From new raw data	13.29666519	-13.23976034
137	[Ne III] line (IRS) 	8.69E-14	+/-0.38E-14	ergs cm^-2^ s^-1^   	1.93E+13	8.69E+09	+/-3.80E+08	Jy-Hz	2007ApJ...656..148A	uncertainty	  15.555   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.28555731	-3.346537533
138	[Ne III] 15.56 (IRS)	6.89E-21		W/cm^2^             	1.93E+13	6.89E+09		Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    15.555 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.28555731	-3.447338087
139	PAH 16.4 (IRS)      	9.74E-14	+/-0.82E-14	ergs cm^-2^ s^-1^   	1.83E+13	9.74E+09	+/-8.20E+08	Jy-Hz	2007ApJ...656..148A	uncertainty	    16.4   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.26245109	-3.273892133
140	H_2 S(1) line (IRS) 	2.05E-13	+/-1.05E-14	ergs cm^-2^ s^-1^   	1.76E+13	2.05E+10	+/-1.05E+09	Jy-Hz	2007ApJ...656..148A	uncertainty	  17.035   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.24551267	-2.933758807
141	H_2 S(1) line (IRS) 	1.86E-20	+/-0.168E-20	W cm^-2^            	1.76E+13	1.86E+10	+/-1.68E+09	Jy-Hz	2006ApJ...648..323H	uncertainty	   17.04   microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.24 +23 30 11.70 (J2000)	 Flux integrated from map	                                        	From new raw data	13.24551267	-2.975999724
142	[Fe II] 17.94 (IRS) 		<1.04E-21  	W/cm^2^             	1.67E+13		1.04E+09	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    17.936 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.22271647	#NUM!
143	[S III] 18.71 (IRS) 	5.19E-21		W/cm^2^             	1.60E+13	5.19E+09		Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    18.713 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.20411998	-3.488952625
144	[S III] line (IRS)  	6.04E-14	+/-0.48E-14	ergs cm^-2^ s^-1^   	1.60E+13	6.04E+09	+/-4.80E+08	Jy-Hz	2007ApJ...656..148A	uncertainty	  18.713   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.20411998	-3.423083044
145	20 microns (Spitzer)	2148.1		 milliJy            	1.50E+13	2.15E+00		Jy	2009ApJS..182..628V	no uncertainty reported	        20 microns   	 Broad-band measurement		 Flux integrated from map	From IRS spectra with 3.3% bandpass     	From new raw data	13.17609126	-12.8436528
146	22 microns WISE AB  	7.43	+/-0.10 	mag                 	1.35E+13	3.86E+00	+/-3.56E-01	Jy	2014ApJS..212...18B	uncertainty	  221400   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aper; PSF and filter curve corr "	From new raw data; Extinction-corrected for Milky Way	13.13033377	-12.54374646
147	22 microns WISE AB  	7.14	+/-0.10 	mag                 	1.35E+13	5.04E+00	+/-4.65E-01	Jy	2014ApJS..212...18B	uncertainty	  221400   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data	13.13033377	-12.42790323
148	22 microns WISE AB  	7.43	+/-0.10 	mag                 	1.35E+13	3.86E+00	+/-3.55E-01	Jy	2014ApJS..212...18B	uncertainty	  221400   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aper; PSF and filter curve corr "	From new raw data	13.13033377	-12.54374646
149	22 microns WISE AB  	7.14	+/-0.10 	mag                 	1.35E+13	5.05E+00	+/-4.65E-01	Jy	2014ApJS..212...18B	uncertainty	  221400   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data; Extinction-corrected for Milky Way	13.13033377	-12.42704239
150	24 microns MIPS AB  	7.04	+/-0.10 	mag                 	1.28E+13	5.57E+00	+/-5.13E-01	Jy	2014ApJS..212...18B	uncertainty	  235100   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data	13.10720997	-12.36135477
151	24 microns MIPS AB  	7.03	+/-0.10 	mag                 	1.28E+13	5.57E+00	+/-5.13E-01	Jy	2014ApJS..212...18B	uncertainty	  235100   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data; Extinction-corrected for Milky Way	13.10720997	-12.36135477
152	25 microns (ISO)    	8.28	+/-30  %	Jy                  	1.26E+13	8.28E+00	+/-2.48E+00	Jy	2001A&A...379..823K	uncertainty	25         microns   	 Broad-band measurement		 Flux in fixed aperture	"Aperture 52""                            "	From new raw data	13.10037055	-12.18234021
153	[Ne V] 24.32 (IRS)  		<24.96E-21 	W/cm^2^             	1.23E+13		2.50E+10	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    24.318 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.08990511	#NUM!
154	[Ne V] line (IRS)   		<5.9E-14   	ergs cm^-2^ s^-1^   	1.23E+13		5.90E+09	Jy-Hz	2007ApJ...656..148A	3 sigma	  24.318   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.08990511	#NUM!
155	25 microns (Spitzer)	9600.5		 milliJy            	1.20E+13	9.60E+00		Jy	2009ApJS..182..628V	no uncertainty reported	        25 microns   	 Broad-band measurement		 Flux integrated from map	From IRS spectra with 3.3% bandpass     	From new raw data	13.07918125	-12.09691001
156	25 microns (Spitzer)	6.966		Jy                  	1.20E+13	6.97E+00		Jy	2011ApJ...730...19S	no uncertainty reported	        25 microns   	 Broad-band measurement	15 34 57.24 +23 30 11.7 (J2000)	 Flux in fixed aperture	                                        	From reprocessed raw data	13.07918125	-12.23594847
157	25 microns (IRAS)   	8	+/-0.034	Jy                  	1.20E+13	8.00E+00	+/-3.40E-02	Jy	2003AJ....126.1607S	1 sigma	      25   microns   	 Broad-band measurement	15 34 57.1 +23 30 10 (J2000)	 Total flux	"Size, Method, Flag codes: UT;see paper  "	From reprocessed raw data	13.07918125	-12.17609126
158	25 microns (IRAS)   	7.91E+00	+/-5   %	Jy                  	1.20E+13	7.91E+00	+/-2.42E-02	Jy	1990IRASF.C...0000M	uncertainty	 25        microns   	 Broad-band measurement	153246.8 +234007 (B1950)	 Flux in fixed aperture	IRAS quality flag = 3                   	From new raw data	13.07918125	-12.18100476
159	25 microns (IRAS)   	7.92	+/-0.038	Jy                  	1.20E+13	7.92E+00	+/-3.80E-02	Jy	1989AJ.....98..766S	rms noise	25         microns   	 Broad-band measurement	153246.3 +234008 (B1950)	 Integrated from scans	Unresolved with 0.78' beam              	From reprocessed raw data	13.07918125	-12.18045606
160	[O IV] 25.89 (IRS)  		<24.33E-21 	W/cm^2^             	1.16E+13		2.43E+10	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    25.890 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.06445799	#NUM!
161	[O IV] line (IRS)   		<8.2E-14   	ergs cm^-2^ s^-1^   	1.16E+13		8.20E+09	Jy-Hz	2007ApJ...656..148A	3 sigma	  25.890   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	13.06445799	#NUM!
162	[Fe II] 15.99 (IRS) 		<15.22E-21 	W/cm^2^             	1.15E+13		1.52E+10	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    25.988 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	13.06069784	#NUM!
163	H_2 S(0) line (IRS) 		<97.0E-20  	W cm^-2^            	1.06E+13		9.70E+11	Jy-Hz	2006ApJ...648..323H	no uncertainty reported	   28.22   microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.24 +23 30 11.70 (J2000)	 Flux integrated from map	                                        	From new raw data	13.02530587	#NUM!
164	30 microns (Spitzer)	22871.5		 milliJy            	9.99E+12	2.29E+01		Jy	2009ApJS..182..628V	no uncertainty reported	        30 microns   	 Broad-band measurement		 Flux integrated from map	From IRS spectra with 3.3% bandpass     	From new raw data	12.99956549	-11.63973001
165	[S III] line (IRS)  		<35.9E-14  	ergs cm^-2^ s^-1^   	8.95E+12		3.59E+10	Jy-Hz	2007ApJ...656..148A	3 sigma	  33.481   microns   	 Line measurement; flux integrated over line; lines measured in emission		 Flux in fixed aperture	                                        	From new raw data	12.95182304	#NUM!
166	[S III] 33.48 (IRS) 		<151.68E-21	W/cm^2^             	8.95E+12		1.52E+11	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    33.481 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	12.95182304	#NUM!
167	[Si II] 34.82 (IRS) 		<202.18E-21	W/cm^2^             	8.61E+12		2.02E+11	Jy-Hz	2011ApJS..193...18W	no uncertainty reported	    34.815 microns   	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	12.93500315	#NUM!
168	52 microns (ISO)    	120.9	+/-10.8 	 Jy                 	5.77E+12	1.21E+02	+/-1.08E+01	Jy	2008ApJS..178..280B	uncertainty	        52 microns   	 Broad-band measurement	15 34 57.34 +23 30 11.9 (J2000)	 Flux integrated from map	                                        	From new raw data	12.76117581	-10.67839044
